../my_data2/data_final_cross_genre_native_lang_mt.csv
Scores: 0.2519774012814807, 0.6000000000336749, with batch size 0.6000000000336749 and epochs 50
Scores: 0.2485875706635626, 0.5694915260972276, with batch size 0.5694915260972276 and epochs 50
Scores: 0.08248587574830836, 0.6033898305421496, with batch size 0.6033898305421496 and epochs 50
Scores: 0.14237288150746943, 0.5819209045609511, with batch size 0.5819209045609511 and epochs 50
Scores: 0.24971751416638746, 0.6000000000336749, with batch size 0.6000000000336749 and epochs 150
Scores: 0.2587570621889863, 0.6022598870393246, with batch size 0.6022598870393246 and epochs 150
Scores: 0.25536723168051173, 0.590960452011076, with batch size 0.590960452011076 and epochs 150
Scores: 0.18983050851666994, 0.5966101700976744, with batch size 0.5966101700976744 and epochs 150
Scores: 0.24971751416638746, 0.5943502825195507, with batch size 0.5943502825195507 and epochs 250
Scores: 0.24745762716073774, 0.5977401130953751, with batch size 0.5977401130953751 and epochs 250
Scores: 0.22485875710424058, 0.5898305085082512, with batch size 0.5898305085082512 and epochs 250
Scores: 0.2271186441098903, 0.5932203390840757, with batch size 0.5932203390840757 and epochs 250
