../my_data2/data_final_cross_genre_native_lang_tm.csv
Scores: 0.20607375272765852, 0.6214750538420521, with batch size 0.6214750538420521 and epochs 50
Scores: 0.18438177875802728, 0.6149674625562225, with batch size 0.6149674625562225 and epochs 50
Scores: 0.1995661609084901, 0.5965292839062705, with batch size 0.5965292839062705 and epochs 50
Scores: 0.18546637760196488, 0.6193058565743833, with batch size 0.6193058565743833 and epochs 50
Scores: 0.20607375272765852, 0.6203904551435706, with batch size 0.6203904551435706 and epochs 150
Scores: 0.20607375272765852, 0.6203904551435706, with batch size 0.6203904551435706 and epochs 150
Scores: 0.16052060739143292, 0.6138828629526812, with batch size 0.6138828629526812 and epochs 150
Scores: 0.1822125815065202, 0.587852494318418, with batch size 0.587852494318418 and epochs 150
Scores: 0.19956616053676915, 0.6203904551435706, with batch size 0.6203904551435706 and epochs 250
Scores: 0.2039045553306954, 0.6203904551435706, with batch size 0.6203904551435706 and epochs 250
Scores: 0.20498915402917697, 0.6203904551435706, with batch size 0.6203904551435706 and epochs 250
Scores: 0.1529284165667091, 0.5574837308902285, with batch size 0.5574837308902285 and epochs 250
