../my_data2/data_final_within_genre_native_lang_twitter.csv
Scores: 0.2730375430689737, 0.5699658707140248, with batch size 0.5699658707140248 and epochs 50
Scores: 0.27645051235225016, 0.5767918092805778, with batch size 0.5767918092805778 and epochs 50
Scores: 0.29692832805190883, 0.5665529014307484, with batch size 0.5665529014307484 and epochs 50
Scores: 0.3276450516013969, 0.5733788399973013, with batch size 0.5733788399973013 and epochs 50
Scores: 0.2423208192143424, 0.556313993580919, with batch size 0.556313993580919 and epochs 150
Scores: 0.2866894202020795, 0.5665529014307484, with batch size 0.5665529014307484 and epochs 150
Scores: 0.3003412973351853, 0.5767918092805778, with batch size 0.5767918092805778 and epochs 150
Scores: 0.26621160450242076, 0.5870307169269783, with batch size 0.5870307169269783 and epochs 150
Scores: 0.2559726966525914, 0.5699658707140248, with batch size 0.5699658707140248 and epochs 250
Scores: 0.27986348143209777, 0.5665529014307484, with batch size 0.5665529014307484 and epochs 250
Scores: 0.2627986352191443, 0.5699658707140248, with batch size 0.5699658707140248 and epochs 250
Scores: 0.27645051235225016, 0.5733788399973013, with batch size 0.5733788399973013 and epochs 250
