,accuracy,analyzer,estimators,max_depth,min_samples,ngram_range
0,0.6295081967213115,char,100,5,1,"(2, 3)"
1,0.6229508196721312,char,100,5,5,"(2, 3)"
2,0.6262295081967213,char,100,10,1,"(2, 3)"
3,0.6819672131147541,char,100,10,5,"(2, 3)"
4,0.6426229508196721,char,300,5,1,"(2, 3)"
5,0.6655737704918033,char,300,5,5,"(2, 3)"
6,0.6491803278688525,char,300,10,1,"(2, 3)"
7,0.6819672131147541,char,300,10,5,"(2, 3)"
