sent_length,capitalization,articles,mult_negs,has_svo,has_sov,has_vos,has_vso,has_ovs,has_osv,color_special,color_regular,filler,hedges,swearwords,sentiment,min_response,adjectives,punct_?,punct_!,y_label,extra_label,set_type
8.333333333333334,2.0,0.4722222222222222,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,3.0,0.07114197530864198,0.0,0.3888888888888889,7.0,7.0,the-netherlands,female,train
23.076923076923077,3.5384615384615383,1.3076923076923077,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,7.0,5.0,0.131765873015873,0.0,1.5384615384615385,2.0,0.0,russia,male,train
21.428571428571427,3.142857142857143,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.18506493506493507,0.0,0.5714285714285714,0.0,1.0,the-netherlands,male,train
20.0,2.0,1.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,5.0,0.11966666666666666,1.0,1.2,3.0,0.0,spain,male,train
37.5,4.625,1.875,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,6.0,0.10199215931637806,0.0,2.875,0.0,4.0,portugal,male,train
16.666666666666668,1.1666666666666667,1.6111111111111112,0.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,8.0,7.0,0.18656305114638447,0.0,1.3888888888888888,0.0,0.0,italy,male,train
13.043478260869565,0.8260869565217391,0.7391304347826086,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.03490996925779534,0.0,0.7391304347826086,1.0,0.0,russia,male,train
15.789473684210526,1.5263157894736843,0.7894736842105263,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,-0.0005325814536340833,0.0,1.0526315789473684,0.0,0.0,the-netherlands,male,train
27.272727272727273,2.0,2.8181818181818183,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,0.15572887970615243,0.0,2.272727272727273,0.0,0.0,germany,male,train
18.75,1.0,2.375,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.18190600198412699,1.0,1.5625,0.0,0.0,russia,female,train
10.714285714285714,0.42857142857142855,1.0714285714285714,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.049999999999999996,0.0,0.6071428571428571,2.0,1.0,germany,male,train
27.272727272727273,3.6363636363636362,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.14497245179063362,0.0,1.4545454545454546,2.0,1.0,germany,male,train
23.076923076923077,2.5384615384615383,2.076923076923077,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,5.0,0.27051587301587293,0.0,2.0,0.0,4.0,russia,female,train
21.428571428571427,1.1428571428571428,1.9285714285714286,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,-0.0026785714285714308,0.0,1.2857142857142858,2.0,0.0,germany,male,train
13.043478260869565,1.0434782608695652,0.6956521739130435,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,9.0,5.0,0.15248564840956144,0.0,0.9130434782608695,6.0,0.0,italy,male,train
20.0,1.6,1.0666666666666667,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,5.0,0.10330555555555557,0.0,1.9333333333333333,0.0,0.0,new-delhi,male,train
23.076923076923077,1.2307692307692308,1.9230769230769231,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,12.0,9.0,0.21905067155067154,0.0,1.3076923076923077,1.0,2.0,italy,male,train
10.714285714285714,1.2857142857142858,0.8571428571428571,0.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,12.0,4.0,0.1150297619047619,0.0,0.6785714285714286,2.0,2.0,poland,male,train
15.789473684210526,1.1578947368421053,1.368421052631579,0.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,3.0,0.016307814992025518,0.0,1.0526315789473684,0.0,0.0,the-netherlands,male,train
27.272727272727273,2.0,2.909090909090909,0.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,5.0,5.0,0.12982683982683982,0.0,2.4545454545454546,0.0,0.0,germany,male,train
23.076923076923077,2.076923076923077,1.6923076923076923,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,6.0,0.04323107448107449,0.0,1.3846153846153846,0.0,0.0,spain,female,train
16.666666666666668,2.0,1.7222222222222223,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,0.08500661375661377,0.0,1.0555555555555556,7.0,0.0,portugal,female,train
13.636363636363637,1.3181818181818181,0.9545454545454546,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,7.0,0.1580033287419651,0.0,1.2272727272727273,0.0,0.0,new-delhi,female,train
16.666666666666668,0.8888888888888888,1.1111111111111112,0.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,11.0,2.0,0.18078703703703708,0.0,1.2222222222222223,3.0,0.0,poland,female,train
16.666666666666668,1.1666666666666667,1.2222222222222223,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.004298941798941802,0.0,1.1111111111111112,5.0,1.0,the-netherlands,male,train
12.0,1.24,0.52,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,6.0,0.02230952380952381,0.0,0.76,0.0,0.0,russia,male,train
