,accuracy,analyzer,neighbors,ngram_range,weights
119,0.21475054229934923,word,20,"(1, 8)",distance
120,0.13123644251626898,char,3,"(1, 8)",uniform
121,0.09761388286334056,char,3,"(1, 8)",distance
122,0.09978308026030369,char,5,"(1, 8)",uniform
123,0.0911062906724512,char,5,"(1, 8)",distance
124,0.09978308026030369,char,10,"(1, 8)",uniform
125,0.0911062906724512,char,10,"(1, 8)",distance
126,0.10629067245119306,char,20,"(1, 8)",uniform
127,0.10303687635574837,char,20,"(1, 8)",distance
128,0.1876355748373102,word,3,"(2, 3)",uniform
129,0.1735357917570499,word,3,"(2, 3)",distance
130,0.18872017353579176,word,5,"(2, 3)",uniform
131,0.1843817787418655,word,5,"(2, 3)",distance
132,0.1963123644251627,word,10,"(2, 3)",uniform
133,0.1984815618221258,word,10,"(2, 3)",distance
134,0.19956616052060738,word,20,"(2, 3)",uniform
135,0.20498915401301518,word,20,"(2, 3)",distance
136,0.13882863340563992,char,3,"(2, 3)",uniform
137,0.12472885032537961,char,3,"(2, 3)",distance
138,0.12581344902386118,char,5,"(2, 3)",uniform
139,0.12364425162689804,char,5,"(2, 3)",distance
140,0.1301518438177874,char,10,"(2, 3)",uniform
141,0.12364425162689804,char,10,"(2, 3)",distance
142,0.17678958785249457,char,20,"(2, 3)",uniform
143,0.1702819956616052,char,20,"(2, 3)",distance
