KNN Accuracy 0.18655097613882862, with ngrams (1, 5), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.19088937093275488, with ngrams (1, 5), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.19088937093275488, with ngrams (1, 5), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.21691973969631237, with ngrams (1, 5), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.210412147505423, with ngrams (1, 5), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.09761388286334056, with ngrams (1, 5), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.07483731019522777, with ngrams (1, 5), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.09436008676789588, with ngrams (1, 5), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.0770065075921909, with ngrams (1, 5), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.09869848156182212, with ngrams (1, 5), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.09436008676789588, with ngrams (1, 5), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.10737527114967461, with ngrams (1, 5), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.10737527114967461, with ngrams (1, 5), analyzer char, neighbors 20, weight distance
KNN Accuracy 0.1963123644251627, with ngrams (1, 6), analyzer word, neighbors 3, weight uniform
KNN Accuracy 0.19414316702819956, with ngrams (1, 6), analyzer word, neighbors 3, weight distance
KNN Accuracy 0.19414316702819956, with ngrams (1, 6), analyzer word, neighbors 5, weight uniform
KNN Accuracy 0.18546637744034708, with ngrams (1, 6), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.19305856832971802, with ngrams (1, 6), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.1876355748373102, with ngrams (1, 6), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.20932754880694143, with ngrams (1, 6), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20932754880694143, with ngrams (1, 6), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.10303687635574837, with ngrams (1, 6), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.0824295010845987, with ngrams (1, 6), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.08568329718004339, with ngrams (1, 6), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.07266811279826464, with ngrams (1, 6), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.08568329718004339, with ngrams (1, 6), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.08459869848156182, with ngrams (1, 6), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.09978308026030369, with ngrams (1, 6), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.09327548806941431, with ngrams (1, 6), analyzer char, neighbors 20, weight distance
KNN Accuracy 0.19197396963123645, with ngrams (1, 7), analyzer word, neighbors 3, weight uniform
KNN Accuracy 0.19197396963123645, with ngrams (1, 7), analyzer word, neighbors 3, weight distance
KNN Accuracy 0.19739696312364424, with ngrams (1, 7), analyzer word, neighbors 5, weight uniform
KNN Accuracy 0.18655097613882862, with ngrams (1, 7), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.19522776572668113, with ngrams (1, 7), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.18872017353579176, with ngrams (1, 7), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.2158351409978308, with ngrams (1, 7), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.21258134490238612, with ngrams (1, 7), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.11496746203904555, with ngrams (1, 7), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.08893709327548807, with ngrams (1, 7), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.08893709327548807, with ngrams (1, 7), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.0770065075921909, with ngrams (1, 7), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.0911062906724512, with ngrams (1, 7), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.08351409978308026, with ngrams (1, 7), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.09761388286334056, with ngrams (1, 7), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.09327548806941431, with ngrams (1, 7), analyzer char, neighbors 20, weight distance
KNN Accuracy 0.1963123644251627, with ngrams (1, 8), analyzer word, neighbors 3, weight uniform
KNN Accuracy 0.1963123644251627, with ngrams (1, 8), analyzer word, neighbors 3, weight distance
KNN Accuracy 0.2017353579175705, with ngrams (1, 8), analyzer word, neighbors 5, weight uniform
KNN Accuracy 0.19305856832971802, with ngrams (1, 8), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.19414316702819956, with ngrams (1, 8), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.19088937093275488, with ngrams (1, 8), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.21908893709327548, with ngrams (1, 8), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.21475054229934923, with ngrams (1, 8), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.13123644251626898, with ngrams (1, 8), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.09761388286334056, with ngrams (1, 8), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.09978308026030369, with ngrams (1, 8), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.0911062906724512, with ngrams (1, 8), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.09978308026030369, with ngrams (1, 8), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.0911062906724512, with ngrams (1, 8), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.10629067245119306, with ngrams (1, 8), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.10303687635574837, with ngrams (1, 8), analyzer char, neighbors 20, weight distance
KNN Accuracy 0.1876355748373102, with ngrams (2, 3), analyzer word, neighbors 3, weight uniform
KNN Accuracy 0.1735357917570499, with ngrams (2, 3), analyzer word, neighbors 3, weight distance
KNN Accuracy 0.18872017353579176, with ngrams (2, 3), analyzer word, neighbors 5, weight uniform
KNN Accuracy 0.1843817787418655, with ngrams (2, 3), analyzer word, neighbors 5, weight distance
KNN Accuracy 0.1963123644251627, with ngrams (2, 3), analyzer word, neighbors 10, weight uniform
KNN Accuracy 0.1984815618221258, with ngrams (2, 3), analyzer word, neighbors 10, weight distance
KNN Accuracy 0.19956616052060738, with ngrams (2, 3), analyzer word, neighbors 20, weight uniform
KNN Accuracy 0.20498915401301518, with ngrams (2, 3), analyzer word, neighbors 20, weight distance
KNN Accuracy 0.13882863340563992, with ngrams (2, 3), analyzer char, neighbors 3, weight uniform
KNN Accuracy 0.12472885032537961, with ngrams (2, 3), analyzer char, neighbors 3, weight distance
KNN Accuracy 0.12581344902386118, with ngrams (2, 3), analyzer char, neighbors 5, weight uniform
KNN Accuracy 0.12364425162689804, with ngrams (2, 3), analyzer char, neighbors 5, weight distance
KNN Accuracy 0.1301518438177874, with ngrams (2, 3), analyzer char, neighbors 10, weight uniform
KNN Accuracy 0.12364425162689804, with ngrams (2, 3), analyzer char, neighbors 10, weight distance
KNN Accuracy 0.17678958785249457, with ngrams (2, 3), analyzer char, neighbors 20, weight uniform
KNN Accuracy 0.1702819956616052, with ngrams (2, 3), analyzer char, neighbors 20, weight distance
