,Algorithm,CrossValMeans
0,SVC,0.5988700564971752
1,DecisionTree,0.5457627118644067
2,AdaBoost,0.535593220338983
3,RandomForest,0.5480225988700564
4,ExtraTrees,0.5966101694915255
5,GradientBoosting,0.5774011299435028
6,MultipleLayerPerceptron,0.631638418079096
7,KNeighbours,0.5683615819209039
8,LogisticRegression,0.5943502824858757
