,Algorithm,CrossValMeans
0,SVC,0.20607375271149675
1,DecisionTree,0.23644251626898047
2,AdaBoost,0.22342733188720174
3,RandomForest,0.19739696312364424
4,ExtraTrees,0.20607375271149675
5,GradientBoosting,0.2787418655097614
6,MultipleLayerPerceptron,0.2245119305856833
7,KNeighbours,0.19197396963123645
8,LogisticRegression,0.1648590021691974
