Decision Tree Accuracy 0.6552901023890785, with ngrams (1, 7), analyzer char, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6621160409556314, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6689419795221843, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.658703071672355, with ngrams (1, 8), analyzer word, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6006825938566553, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.5870307167235495, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6348122866894198, with ngrams (1, 8), analyzer word, max_depth 10, min samples leaf 20
Decision Tree Accuracy 0.6723549488054608, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 5
Decision Tree Accuracy 0.6245733788395904, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 10
Decision Tree Accuracy 0.6621160409556314, with ngrams (1, 8), analyzer char, max_depth 5, min samples leaf 20
Decision Tree Accuracy 0.6825938566552902, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 5
Decision Tree Accuracy 0.6348122866894198, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 10
Decision Tree Accuracy 0.6928327645051194, with ngrams (1, 8), analyzer char, max_depth 10, min samples leaf 20
