,Algorithm,CrossValMeans,CrossValerrors
0,SVC,0.6175334806454351,0.0013467005437578115
1,DecisionTree,0.6260002847668883,0.024046856991960745
2,AdaBoost,0.6350955475054146,0.03140331151151525
3,RandomForest,0.6668551330600667,0.040024713217486976
4,ExtraTrees,0.7564620452286486,0.03125279789524099
5,GradientBoosting,0.7603623932466437,0.0275169770269639
6,MultipleLayerPerceptron,0.904510953941694,0.022068432172908516
7,KNeighbours,0.9091070093726641,0.02066630408097145
8,LogisticRegression,0.8064708072867466,0.02593907635369324
