,Algorithm,CrossValMeans,CrossValerrors
0,SVC,0.23172433681317287,0.001456007937220568
1,DecisionTree,0.42649250778683817,0.0549478884379935
2,AdaBoost,0.42277030083121875,0.0606362120710098
3,RandomForest,0.40534135704982593,0.05583841076147503
4,ExtraTrees,0.48283399012896205,0.07478102806175627
5,GradientBoosting,0.6424146650918532,0.07130099800919616
6,MultipleLayerPerceptron,0.6983089764303895,0.060529639009483126
7,KNeighbours,0.7656976272881666,0.04131262797825765
8,LogisticRegression,0.5062368494312603,0.041541952265357805
