,Algorithm,CrossValMeans,CrossValerrors
0,SVC,0.5989591078066915,0.0006814238951606914
1,DecisionTree,0.6305135618890265,0.02318614439530062
2,AdaBoost,0.6386947542337877,0.03328874252418752
3,RandomForest,0.6505383450364863,0.045123199063821236
4,ExtraTrees,0.745584469227592,0.046370955924551975
5,GradientBoosting,0.7400247831474597,0.034692000817396935
6,MultipleLayerPerceptron,0.8755624397631834,0.045000271225399444
7,KNeighbours,0.8714980035797879,0.03000294854173018
8,LogisticRegression,0.7908756712102438,0.07636333842101094
