,Algorithm,CrossValMeans,CrossValerrors
0,SVC,0.24749158121145473,0.0021267091357166958
1,DecisionTree,0.4446511242608784,0.03888301360433563
2,AdaBoost,0.4370631427521302,0.04321019510575245
3,RandomForest,0.43532609568247793,0.04238629168382245
4,ExtraTrees,0.5200383353130318,0.048135973019316665
5,GradientBoosting,0.6553393395771989,0.0419357206244033
6,MultipleLayerPerceptron,0.7317702786486915,0.03199906928526804
7,KNeighbours,0.8004784820116646,0.016217781987996508
8,LogisticRegression,0.5057652637771053,0.019692169397266316
