,Algorithm,CrossValMeans,CrossValerrors
0,SVC,0.2180331689932466,0.0008337761761078216
1,DecisionTree,0.4390952020460667,0.03941226122921866
2,AdaBoost,0.44467628783048213,0.033052811354149635
3,RandomForest,0.3883047278912804,0.0333989528340385
4,ExtraTrees,0.47726095964030346,0.04875148278135219
5,GradientBoosting,0.6157094110386498,0.04136616912404135
6,MultipleLayerPerceptron,0.7431097674721403,0.06203379695218974
7,KNeighbours,0.7751687429595948,0.11308532548116326
8,LogisticRegression,0.5237987602254613,0.0858785992343283
